# Time	Pos	PotentialE	KineticE	TotalE
1.020000	1.298590	-0.660181	0.011628	-0.648552
1.030000	1.300000	-0.657012	0.008459	-0.648553
1.040000	1.301190	-0.654353	0.005799	-0.648553
1.050000	1.302160	-0.652198	0.003645	-0.648553
1.060000	1.302900	-0.650545	0.001991	-0.648554
1.070000	1.303420	-0.649388	0.000835	-0.648554
1.080000	1.303720	-0.648727	0.000173	-0.648554
1.090000	1.303790	-0.648561	0.000006	-0.648554
1.100000	1.303640	-0.648887	0.000333	-0.648554
1.110000	1.303270	-0.649709	0.001154	-0.648555
1.120000	1.302680	-0.651026	0.002471	-0.648555
1.130000	1.301870	-0.652841	0.004286	-0.648555
1.140000	1.300830	-0.655158	0.006603	-0.648555
1.150000	1.299570	-0.657982	0.009427	-0.648555
1.160000	1.298080	-0.661316	0.012762	-0.648554
1.170000	1.296370	-0.665170	0.016615	-0.648554
1.180000	1.294440	-0.669547	0.020993	-0.648554
1.190000	1.292280	-0.674457	0.025903	-0.648554
1.200000	1.289890	-0.679907	0.031353	-0.648554
1.210000	1.287270	-0.685906	0.037353	-0.648553
1.220000	1.284420	-0.692462	0.043910	-0.648552
1.230000	1.281340	-0.699586	0.051034	-0.648552
1.240000	1.278030	-0.707285	0.058734	-0.648551
1.250000	1.274490	-0.715567	0.067019	-0.648548
1.260000	1.270710	-0.724444	0.075896	-0.648548
1.270000	1.266700	-0.733918	0.085372	-0.648547
1.280000	1.262450	-0.743995	0.095450	-0.648545
1.290000	1.257960	-0.754678	0.106134	-0.648544
1.300000	1.253230	-0.765964	0.117422	-0.648542
1.310000	1.248270	-0.777847	0.129308	-0.648539
1.320000	1.243060	-0.790319	0.141781	-0.648538
1.330000	1.237620	-0.803357	0.154821	-0.648536
1.340000	1.231940	-0.816936	0.168402	-0.648534
1.350000	1.226010	-0.831016	0.182483	-0.648533
1.360000	1.219850	-0.845542	0.197011	-0.648531
1.370000	1.213460	-0.860447	0.211917	-0.648530
1.380000	1.206840	-0.875639	0.227109	-0.648530
1.390000	1.199980	-0.891000	0.242470	-0.648530
1.400000	1.192910	-0.906386	0.257856	-0.648531
1.410000	1.185620	-0.921616	0.273083	-0.648532
1.420000	1.178130	-0.936466	0.287931	-0.648535
1.430000	1.170450	-0.950667	0.302128	-0.648539
1.440000	1.162590	-0.963897	0.315353	-0.648544
1.450000	1.154560	-0.975772	0.327223	-0.648550
1.460000	1.146410	-0.985850	0.337295	-0.648556
1.470000	1.138140	-0.993626	0.345064	-0.648562
1.480000	1.129790	-0.998535	0.349967	-0.648567
1.490000	1.121400	-0.999967	0.351398	-0.648570
1.500000	1.113010	-0.997294	0.348728	-0.648566
1.510000	1.104690	-0.989897	0.341345	-0.648553
1.520000	1.096480	-0.977233	0.328709	-0.648524
1.530000	1.088450	-0.958903	0.310426	-0.648477
1.540000	1.080700	-0.934734	0.286344	-0.648389
1.550000	1.073290	-0.904918	0.256656	-0.648262
1.560000	1.066330	-0.870094	0.222013	-0.648081
1.570000	1.059920	-0.831476	0.183615	-0.647861
1.580000	1.054160	-0.790757	0.143246	-0.647512
1.590000	1.049150	-0.750318	0.103233	-0.647085
1.600000	1.045000	-0.712883	0.066311	-0.646573
1.610000	1.041780	-0.681331	0.035353	-0.645978
1.620000	1.039570	-0.658339	0.013025	-0.645315
1.630000	1.038430	-0.646004	0.001399	-0.644605
1.640000	1.038390	-0.645504	0.001627	-0.643877
1.650000	1.039440	-0.656902	0.013737	-0.643164
1.660000	1.041560	-0.679130	0.036633	-0.642497
1.670000	1.044710	-0.710168	0.068269	-0.641899
1.680000	1.048810	-0.747368	0.105981	-0.641387
1.690000	1.053780	-0.787839	0.146868	-0.640971
1.700000	1.059520	-0.828803	0.188149	-0.640654
1.710000	1.065920	-0.867816	0.227446	-0.640370
1.720000	1.072890	-0.903106	0.262922	-0.640184
1.730000	1.080320	-0.933397	0.293343	-0.640054
1.740000	1.088120	-0.958003	0.318031	-0.639972
1.750000	1.096200	-0.976696	0.336781	-0.639915
1.760000	1.104470	-0.989633	0.349749	-0.639884
1.770000	1.112870	-0.997206	0.357337	-0.639869
1.780000	1.121330	-0.999963	0.360099	-0.639864
1.790000	1.129800	-0.998530	0.358665	-0.639865
1.800000	1.138230	-0.993549	0.353680	-0.639869
1.810000	1.146590	-0.985643	0.345768	-0.639875
1.820000	1.154840	-0.975388	0.335506	-0.639881
1.830000	1.162960	-0.963300	0.323413	-0.639887
1.840000	1.170920	-0.949834	0.309943	-0.639891
1.850000	1.178700	-0.935379	0.295484	-0.639894
1.860000	1.186280	-0.920265	0.280368	-0.639897
1.870000	1.193670	-0.904767	0.264869	-0.639898
1.880000	1.200840	-0.889111	0.249213	-0.639899
1.890000	1.207780	-0.873482	0.233584	-0.639898
1.900000	1.214510	-0.858028	0.218130	-0.639898
1.910000	1.220990	-0.842865	0.202969	-0.639896
1.920000	1.227250	-0.828087	0.188192	-0.639895
1.930000	1.233270	-0.813764	0.173870	-0.639893
1.940000	1.239040	-0.799947	0.160056	-0.639891
1.950000	1.244580	-0.786677	0.146788	-0.639889
1.960000	1.249880	-0.773981	0.134094	-0.639886
1.970000	1.254940	-0.761879	0.121993	-0.639886
1.980000	1.259760	-0.750379	0.110494	-0.639884
1.990000	1.264340	-0.739486	0.099604	-0.639882
