# Time	Pos	PotentialE	KineticE	TotalE
0.102000	1.288069	-0.684066	0.027049	-0.657017
0.103000	1.287836	-0.684602	0.027585	-0.657017
0.104000	1.287599	-0.685144	0.028127	-0.657017
0.105000	1.287361	-0.685691	0.028674	-0.657017
0.106000	1.287121	-0.686243	0.029227	-0.657017
0.107000	1.286878	-0.686802	0.029785	-0.657017
0.108000	1.286632	-0.687365	0.030348	-0.657017
0.109000	1.286385	-0.687934	0.030917	-0.657017
0.110000	1.286135	-0.688509	0.031492	-0.657017
0.111000	1.285883	-0.689089	0.032072	-0.657017
0.112000	1.285629	-0.689675	0.032658	-0.657017
0.113000	1.285372	-0.690267	0.033250	-0.657017
0.114000	1.285113	-0.690864	0.033847	-0.657017
0.115000	1.284851	-0.691466	0.034449	-0.657017
0.116000	1.284588	-0.692074	0.035057	-0.657017
0.117000	1.284322	-0.692688	0.035671	-0.657017
0.118000	1.284054	-0.693307	0.036290	-0.657017
0.119000	1.283783	-0.693932	0.036915	-0.657017
0.120000	1.283510	-0.694563	0.037546	-0.657017
0.121000	1.283235	-0.695199	0.038182	-0.657017
0.122000	1.282957	-0.695841	0.038824	-0.657017
0.123000	1.282678	-0.696488	0.039471	-0.657017
0.124000	1.282396	-0.697142	0.040125	-0.657017
0.125000	1.282111	-0.697800	0.040783	-0.657017
0.126000	1.281824	-0.698465	0.041448	-0.657017
0.127000	1.281535	-0.699135	0.042118	-0.657017
0.128000	1.281244	-0.699811	0.042794	-0.657017
0.129000	1.280950	-0.700492	0.043476	-0.657017
0.130000	1.280654	-0.701180	0.044163	-0.657017
0.131000	1.280356	-0.701873	0.044856	-0.657017
0.132000	1.280055	-0.702571	0.045555	-0.657017
0.133000	1.279752	-0.703276	0.046259	-0.657017
0.134000	1.279447	-0.703986	0.046969	-0.657017
0.135000	1.279139	-0.704702	0.047685	-0.657017
0.136000	1.278829	-0.705424	0.048407	-0.657017
0.137000	1.278517	-0.706151	0.049134	-0.657017
0.138000	1.278202	-0.706885	0.049868	-0.657017
0.139000	1.277885	-0.707624	0.050607	-0.657017
0.140000	1.277566	-0.708368	0.051351	-0.657017
0.141000	1.277244	-0.709119	0.052102	-0.657017
0.142000	1.276920	-0.709875	0.052859	-0.657017
0.143000	1.276594	-0.710638	0.053621	-0.657017
0.144000	1.276265	-0.711406	0.054389	-0.657017
0.145000	1.275934	-0.712180	0.055163	-0.657017
0.146000	1.275601	-0.712959	0.055942	-0.657017
0.147000	1.275265	-0.713745	0.056728	-0.657017
0.148000	1.274927	-0.714536	0.057519	-0.657017
0.149000	1.274587	-0.715334	0.058317	-0.657017
0.150000	1.274244	-0.716137	0.059120	-0.657017
0.151000	1.273899	-0.716946	0.059929	-0.657017
0.152000	1.273552	-0.717761	0.060744	-0.657017
0.153000	1.273202	-0.718581	0.061565	-0.657017
0.154000	1.272850	-0.719408	0.062391	-0.657017
0.155000	1.272496	-0.720241	0.063224	-0.657017
0.156000	1.272139	-0.721079	0.064062	-0.657017
0.157000	1.271780	-0.721924	0.064907	-0.657017
0.158000	1.271418	-0.722774	0.065757	-0.657017
0.159000	1.271054	-0.723630	0.066613	-0.657017
0.160000	1.270688	-0.724492	0.067475	-0.657017
0.161000	1.270320	-0.725360	0.068344	-0.657017
0.162000	1.269949	-0.726235	0.069218	-0.657017
0.163000	1.269576	-0.727115	0.070098	-0.657017
0.164000	1.269200	-0.728001	0.070984	-0.657017
0.165000	1.268822	-0.728892	0.071876	-0.657017
0.166000	1.268442	-0.729790	0.072773	-0.657017
0.167000	1.268059	-0.730694	0.073677	-0.657017
0.168000	1.267674	-0.731604	0.074587	-0.657017
0.169000	1.267287	-0.732520	0.075503	-0.657017
0.170000	1.266897	-0.733442	0.076425	-0.657017
0.171000	1.266505	-0.734370	0.077353	-0.657017
0.172000	1.266110	-0.735303	0.078286	-0.657017
0.173000	1.265713	-0.736243	0.079226	-0.657017
0.174000	1.265314	-0.737189	0.080172	-0.657017
0.175000	1.264912	-0.738141	0.081124	-0.657017
0.176000	1.264508	-0.739098	0.082082	-0.657017
0.177000	1.264102	-0.740062	0.083045	-0.657017
0.178000	1.263693	-0.741032	0.084015	-0.657017
0.179000	1.263282	-0.742008	0.084991	-0.657017
0.180000	1.262869	-0.742990	0.085973	-0.657017
0.181000	1.262453	-0.743978	0.086961	-0.657017
0.182000	1.262035	-0.744972	0.087955	-0.657017
0.183000	1.261614	-0.745971	0.088955	-0.657017
0.184000	1.261191	-0.746977	0.089961	-0.657017
0.185000	1.260766	-0.747989	0.090972	-0.657017
0.186000	1.260338	-0.749007	0.091990	-0.657017
0.187000	1.259908	-0.750031	0.093014	-0.657017
0.188000	1.259475	-0.751061	0.094044	-0.657017
0.189000	1.259041	-0.752097	0.095081	-0.657017
0.190000	1.258603	-0.753139	0.096123	-0.657017
0.191000	1.258164	-0.754187	0.097171	-0.657017
0.192000	1.257722	-0.755242	0.098225	-0.657017
0.193000	1.257277	-0.756302	0.099285	-0.657017
0.194000	1.256830	-0.757368	0.100351	-0.657017
0.195000	1.256381	-0.758440	0.101423	-0.657017
0.196000	1.255930	-0.759518	0.102501	-0.657017
0.197000	1.255476	-0.760602	0.103585	-0.657017
0.198000	1.255019	-0.761692	0.104675	-0.657017
0.199000	1.254561	-0.762788	0.105772	-0.657017
0.200000	1.254099	-0.763890	0.106874	-0.657017
0.201000	1.253636	-0.764999	0.107982	-0.657017
0.202000	1.253170	-0.766113	0.109096	-0.657017
0.203000	1.252702	-0.767233	0.110216	-0.657017
0.204000	1.252231	-0.768359	0.111342	-0.657017
0.205000	1.251758	-0.769490	0.112474	-0.657017
0.206000	1.251282	-0.770628	0.113611	-0.657017
0.207000	1.250804	-0.771772	0.114755	-0.657017
0.208000	1.250324	-0.772922	0.115905	-0.657017
0.209000	1.249842	-0.774077	0.117061	-0.657017
0.210000	1.249356	-0.775239	0.118222	-0.657017
0.211000	1.248869	-0.776406	0.119390	-0.657017
0.212000	1.248379	-0.777580	0.120563	-0.657017
0.213000	1.247887	-0.778759	0.121742	-0.657017
0.214000	1.247392	-0.779944	0.122927	-0.657017
0.215000	1.246895	-0.781135	0.124118	-0.657017
0.216000	1.246396	-0.782331	0.125315	-0.657017
0.217000	1.245894	-0.783534	0.126517	-0.657017
0.218000	1.245390	-0.784742	0.127725	-0.657017
0.219000	1.244883	-0.785956	0.128939	-0.657017
0.220000	1.244374	-0.787176	0.130159	-0.657017
0.221000	1.243863	-0.788402	0.131385	-0.657017
0.222000	1.243349	-0.789633	0.132616	-0.657017
0.223000	1.242833	-0.790870	0.133853	-0.657017
0.224000	1.242314	-0.792113	0.135096	-0.657017
0.225000	1.241793	-0.793361	0.136344	-0.657017
0.226000	1.241270	-0.794615	0.137598	-0.657017
0.227000	1.240744	-0.795874	0.138858	-0.657017
0.228000	1.240216	-0.797140	0.140123	-0.657017
0.229000	1.239685	-0.798410	0.141393	-0.657017
