0.020000	0.000000
0.060000	0.000000
0.100000	0.000000
0.140000	0.000000
0.180000	0.000000
0.220000	0.000000
0.260000	0.000000
0.300000	0.000000
0.340000	0.000000
0.380000	0.000000
0.420000	0.000000
0.460000	0.000000
0.500000	0.000000
0.540000	0.000000
0.580000	0.000000
0.620000	0.000000
0.660000	0.000000
0.700000	0.000000
0.740000	0.000000
0.780000	0.000000
0.820000	0.000000
0.860000	0.000126
0.900000	0.008136
0.940000	0.151344
0.980000	0.698991
1.020000	1.440413
1.060000	1.926570
1.100000	2.026405
1.140000	1.929463
1.180000	1.766422
1.220000	1.599191
1.260000	1.458306
1.300000	1.317984
1.340000	1.217500
1.380000	1.151420
1.420000	1.144905
1.460000	1.017232
1.500000	0.945121
1.540000	0.892323
1.580000	0.872119
1.620000	0.849565
1.660000	0.830380
1.700000	0.849006
1.740000	0.842238
1.780000	0.854159
1.820000	0.867881
1.860000	0.903428
1.900000	0.935537
1.940000	0.981122
1.980000	1.016715
2.020000	1.050599
2.060000	1.064423
2.100000	1.073650
2.140000	1.068690
2.180000	1.072026
2.220000	1.064018
2.260000	1.055066
2.300000	1.054749
2.340000	1.035331
2.380000	1.039824
2.420000	1.066519
2.460000	1.071464
2.500000	1.015597
2.540000	0.987808
2.580000	0.972476
2.620000	0.970325
2.660000	0.979170
2.700000	0.976408
2.740000	0.972939
2.780000	0.976036
2.820000	1.000332
2.860000	0.983112
2.900000	0.980972
2.940000	0.989187
2.980000	0.984029
3.020000	0.989317
3.060000	1.003313
3.100000	1.023879
3.140000	1.040685
3.180000	1.030312
3.220000	1.002853
3.260000	0.980336
3.300000	0.984134
3.340000	0.993445
3.380000	0.981501
3.420000	0.998493
3.460000	1.001575
3.500000	0.980379
3.540000	0.990833
3.580000	0.989694
3.620000	0.987157
3.660000	1.001884
3.700000	1.020440
3.740000	1.055976
3.780000	1.007117
3.820000	0.988961
3.860000	0.985814
3.900000	0.984671
3.940000	0.979926
3.980000	0.988847
